2022-05-15 00:05:708 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:513 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:929 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:48 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:882 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:215 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:283 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:50 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:471 INFO  HomePage :134 - Clicking on Register Link[[ChromeDriver: chrome on WINDOWS (78a870f11077d05dbae40d6b21572e02)] -> link text: Register]
2022-05-15 01:05:403 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:817 INFO  HomePage :134 - Clicking on Register Link[[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> link text: Register]
2022-05-15 01:05:218 INFO  HomePage :169 - Clicking on Register Button[[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //button[@id='register-button']]
2022-05-15 01:05:297 INFO  HomePage :171 - getting first Name Error text from [[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 01:05:429 INFO  HomePage :175 - getting last Name Error text from [[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //span[@id='LastName-error']]
2022-05-15 01:05:573 INFO  HomePage :179 - getting email Error text from [[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //span[@id='Email-error']]
2022-05-15 01:05:702 INFO  HomePage :183 - getting password Error text from [[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //span[@id='Password-error']]
2022-05-15 01:05:827 INFO  HomePage :187 - getting confirm Pw Error text from [[ChromeDriver: chrome on WINDOWS (5444c10744141c0893f429fc98c9624b)] -> xpath: //span[@id='ConfirmPassword-error']]
2022-05-15 01:05:477 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 01:05:75 INFO  HomePage :134 - Clicking on Register Link[[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> link text: Register]
2022-05-15 01:05:361 INFO  HomePage :126 - Clicking on female radio button[[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //input[@id='gender-female']]
2022-05-15 01:05:742 INFO  HomePage :130 - Enter email Shruti to email field [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> id: FirstName]
2022-05-15 01:05:66 INFO  HomePage :135 - Enter emailDevani to email field [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> id: LastName]
2022-05-15 01:05:391 INFO  HomePage :140 - Selecting DateofBirth12 from dropdown [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //select[@name='DateOfBirthDay']]
2022-05-15 01:05:691 INFO  HomePage :146 - Selecting month11 from dropdown [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //select[@name='DateOfBirthMonth']]
2022-05-15 01:05:951 INFO  HomePage :150 - Selecting year1987 from dropdown [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //select[@name='DateOfBirthYear']]
2022-05-15 01:05:336 INFO  HomePage :155 - Enter emailshruti2022@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> id: Email]
2022-05-15 01:05:698 INFO  HomePage :159 - Enter emailshruti2022 to email field [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //input[@id='Password']]
2022-05-15 01:05:01 INFO  HomePage :164 - Enter emailshruti2022 to email field [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> id: ConfirmPassword]
2022-05-15 01:05:654 INFO  HomePage :169 - Clicking on Register Button[[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //button[@id='register-button']]
2022-05-15 01:05:744 INFO  HomePage :117 - getting verify Register Text  from [[ChromeDriver: chrome on WINDOWS (65dabc6865fb1de222003957494e3ea0)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 01:05:184 INFO  ManageDriver :32 - Launching Chrome Browser
